IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）,地区码,端口
94.159.101.254,4,4,0,165.38,12.21,FRA,443
167.172.182.52,4,4,0,241.38,12.2,FRA,443
185.65.202.101,4,4,0,258.1,12.18,FRA,8443
89.19.209.6,4,4,0,261.43,12.13,AMS,443
185.255.179.157,4,4,0,288.97,12.1,FRA,443
31.172.73.59,4,4,0,200.51,12.07,FRA,443
77.37.33.117,4,2,0.5,214.68,12.07,LAX,2087
185.103.252.108,4,4,0,258.88,12.06,FRA,8443
185.233.80.60,4,4,0,285.43,12.03,FRA,8443
64.188.68.11,4,4,0,196.92,12.01,FRA,443
212.192.31.16,4,4,0,267.46,11.95,FRA,8443
92.246.136.55,4,4,0,260.65,11.92,FRA,2053
93.152.217.56,4,4,0,249.06,11.85,FRA,443
178.236.243.153,4,4,0,247.2,11.82,FRA,443
164.92.132.232,4,4,0,263.42,11.78,FRA,8443
77.37.33.120,4,4,0,221.06,11.75,LAX,2087
45.12.254.163,4,4,0,276.57,11.74,FRA,8443
159.65.122.67,4,4,0,237.2,11.7,FRA,2053
5.187.6.30,4,4,0,181.58,11.69,FRA,8443
64.226.121.93,4,4,0,285.38,11.67,FRA,22222
45.129.242.128,4,4,0,172.16,11.63,DUS,443
31.172.72.25,4,4,0,210.14,11.63,FRA,443
194.87.148.188,4,4,0,255.2,11.59,FRA,443
91.228.153.99,4,4,0,168.81,11.59,FRA,8443
37.220.83.176,4,4,0,273.05,11.58,AMS,443
5.253.188.139,4,4,0,252.59,11.55,FRA,443
14.102.229.4,4,3,0.25,218.39,11.53,LAX,2096
213.108.198.18,4,4,0,279.97,11.5,FRA,2053
87.251.87.36,4,4,0,267.19,11.48,FRA,443
45.12.254.163,4,4,0,273.22,11.46,FRA,8443
167.17.176.124,4,4,0,199.73,11.46,FRA,443
91.199.118.216,4,4,0,220.66,11.43,FRA,8443
185.254.67.220,4,4,0,272.98,11.43,FRA,8443
14.102.228.217,4,4,0,219.45,11.36,LAX,2096
91.149.223.242,4,4,0,261.72,11.33,FRA,443
81.200.154.2,4,4,0,266.74,11.33,AMS,2053
14.102.229.60,4,2,0.5,255.6,11.3,LAX,2096
87.120.205.93,4,4,0,248.04,11.24,FRA,443
185.65.202.101,4,4,0,291.05,11.24,FRA,8443
109.237.97.197,4,4,0,247.26,11.22,FRA,8443
89.208.103.101,4,4,0,265.84,11.2,FRA,443
194.39.204.118,4,4,0,229.44,11.19,MUC,65535
94.159.98.113,4,4,0,184.87,11.18,FRA,443
78.108.216.48,4,4,0,264.28,11.11,WAW,8442
46.101.110.196,4,4,0,251.97,11.11,FRA,443
193.23.197.40,4,4,0,203.23,11.09,FRA,443
45.142.115.186,4,4,0,271.44,11.08,FRA,2053
206.81.26.62,4,4,0,251.51,11.07,FRA,44322
45.144.233.205,4,4,0,257.5,11.04,FRA,2053
193.233.134.77,4,4,0,227.94,11.03,FRA,443
62.60.216.169,4,4,0,294.61,10.89,FRA,443
185.255.179.166,4,4,0,258.61,10.88,FRA,443
5.39.249.100,4,4,0,269.77,10.86,FRA,2053
164.90.209.253,4,4,0,257.28,10.81,FRA,2053
45.95.235.210,4,4,0,272.06,10.8,AMS,443
62.60.216.29,4,4,0,325.17,10.79,FRA,8443
89.169.12.101,4,4,0,270.35,10.79,FRA,443
92.246.139.226,4,4,0,284.87,10.77,FRA,443
178.128.198.120,4,4,0,243.86,10.77,FRA,8443
45.144.233.205,4,4,0,266.98,10.74,FRA,2053
89.169.6.114,4,4,0,217.71,10.72,FRA,2053
31.172.73.153,4,4,0,205.64,10.72,FRA,443
109.122.198.96,4,4,0,244.23,10.71,FRA,2096
45.128.99.204,4,4,0,244.27,10.63,ARN,443
91.149.223.88,4,4,0,269.92,10.61,FRA,8443
5.187.7.220,4,4,0,194.1,10.6,FRA,443
134.122.77.148,4,4,0,238.16,10.59,FRA,443
62.60.216.44,4,4,0,268.87,10.56,FRA,443
195.245.239.124,4,4,0,200.28,10.55,FRA,443
89.23.106.212,4,4,0,199.6,10.55,FRA,443
94.125.101.235,4,4,0,250.72,10.54,FRA,443
85.234.100.221,4,4,0,306.67,10.47,FRA,443
